序号,名称,今日涨跌幅,今日主力净流入-净额,今日主力净流入-净占比,今日超大单净流入-净额,今日超大单净流入-净占比,今日大单净流入-净额,今日大单净流入-净占比,今日中单净流入-净额,今日中单净流入-净占比,今日小单净流入-净额,今日小单净流入-净占比,今日主力净流入最大股
117,厨卫电器,-0.97,-8805312.0,-0.67,-16535280.0,-1.27,7729968.0,0.59,334208.0,0.03,8471104.0,0.65,华帝股份
118,个护小家电,-2.67,-8906544.0,-3.07,-4238988.0,-1.46,-4667556.0,-1.61,-9203492.0,-3.17,7033352.0,2.42,飞科电器
119,洗护用品,0.22,-9040186.0,-3.78,-1403176.0,-0.59,-7637010.0,-3.19,938190.0,0.39,8101996.0,3.38,润本股份
120,餐饮,-0.46,-9190948.0,-4.89,-10839836.0,-5.77,1648888.0,0.88,-173634.0,-0.09,9364582.0,4.99,同庆楼
121,调味发酵品Ⅱ,-0.91,-9360784.0,-0.18,-93563360.0,-1.78,84202576.0,1.6,29309920.0,0.56,-22065456.0,-0.42,海天味业
122,调味发酵品Ⅲ,-0.91,-9360784.0,-0.18,-93563360.0,-1.78,84202576.0,1.6,29309920.0,0.56,-22065456.0,-0.42,海天味业
123,烘焙食品,-0.97,-9396577.0,-1.85,-5614755.0,-1.11,-3781822.0,-0.75,-15266402.0,-3.01,24662980.0,4.86,青岛食品
124,综合包装,-1.44,-9643105.0,-2.1,4487756.0,0.98,-14130861.0,-3.08,-536522.0,-0.12,9610486.0,2.09,海顺新材
125,其他数字媒体,-2.05,-9756404.0,-5.2,-737883.0,-0.39,-9018521.0,-4.81,3679348.0,1.96,6077056.0,3.24,凡拓数创
126,啤酒,-0.66,-9824337.0,-0.99,-17059708.0,-1.72,7235371.0,0.73,19869296.0,2.0,-10044960.0,-1.01,青岛啤酒
127,燃料电池,-2.54,-9846912.0,-10.3,-5110712.0,-5.35,-4736200.0,-4.95,7440960.0,7.78,2405952.0,2.52,亿华通-U
128,教育运营及其他,-0.98,-9892826.0,-2.58,4640252.0,1.21,-14533078.0,-3.79,11189939.0,2.92,-1297113.0,-0.34,豆神教育
129,其他饰品,-1.15,-10217502.0,-27.8,-5443938.0,-14.81,-4773564.0,-12.99,4067810.0,11.07,6149693.0,16.73,ST新华锦
130,海洋捕捞,-1.22,-10504659.0,-6.6,-4294576.0,-2.7,-6210083.0,-3.9,-3871352.0,-2.43,14376011.0,9.04,中  鲁Ｂ
131,文化用品,-0.22,-10844341.0,-3.14,-5855998.0,-1.7,-4988343.0,-1.45,-5193341.0,-1.5,16037682.0,4.65,创源股份
132,品牌消费电子,-1.27,-11120670.0,-0.45,3727458.0,0.15,-14848128.0,-0.6,-27269584.0,-1.11,25914560.0,1.05,传音控股
133,肉鸡养殖,-2.7,-11439642.0,-1.58,-3875162.0,-0.54,-7564480.0,-1.05,11834588.0,1.64,-394944.0,-0.05,仙坛股份
134,品牌化妆品,-0.71,-11485771.0,-1.8,-10405687.0,-1.63,-1080084.0,-0.17,19274298.0,3.01,-7788528.0,-1.22,上海家化
135,非金属材料Ⅱ,-1.41,-11691264.0,-0.51,76982816.0,3.38,-88674080.0,-3.89,-73421744.0,-3.22,69979312.0,3.07,坤彩科技
136,非金属材料Ⅲ,-1.41,-11691264.0,-0.51,76982816.0,3.38,-88674080.0,-3.89,-73421744.0,-3.22,69979312.0,3.07,坤彩科技
137,端到端供应链服务,-1.39,-11862785.0,-3.82,2849931.0,0.92,-14712716.0,-4.74,-2616775.0,-0.84,14479560.0,4.67,新宁物流
138,印染,-0.44,-12638169.0,-3.85,-3624546.0,-1.1,-9013623.0,-2.74,-28444789.0,-8.66,41082958.0,12.5,迎丰股份
139,公交,0.17,-12706704.0,-4.15,-5069908.0,-1.66,-7636796.0,-2.49,-15139797.0,-4.94,27846501.0,9.09,江西长运
140,资产管理,-1.44,-12884445.0,-5.48,-5589551.0,-2.38,-7294894.0,-3.1,2761526.0,1.17,10122919.0,4.31,九鼎投资
141,医疗美容,-0.62,-13986414.0,-2.79,-13247221.0,-2.64,-739193.0,-0.15,-4331934.0,-0.86,5127777.0,1.02,*ST美谷
142,农业综合Ⅱ,-1.79,-15092551.0,-6.9,404669.0,0.18,-15497220.0,-7.08,-10783904.0,-4.93,23978528.0,10.96,大禹节水
143,农业综合Ⅲ,-1.79,-15092551.0,-6.9,404669.0,0.18,-15497220.0,-7.08,-10783904.0,-4.93,23978528.0,10.96,大禹节水
144,长材,-1.68,-16083585.0,-7.73,-7209257.0,-3.47,-8874328.0,-4.27,5640434.0,2.71,10443151.0,5.02,中南股份
145,水泥制造,-0.63,-17532077.0,-0.8,-28478029.0,-1.3,10945952.0,0.5,-54038080.0,-2.47,71570160.0,3.27,海螺水泥
146,化妆品制造及其他,-1.04,-18084410.0,-3.54,-31052980.0,-6.09,12968570.0,2.54,1073149.0,0.21,16409839.0,3.22,嘉亨家化
147,其他能源发电,6.04,-18365672.0,-2.02,-30819472.0,-3.39,12453800.0,1.37,32804029.0,3.61,-14438361.0,-1.59,长青集团
