序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
5415,688268,华特气体,91.0,-7.62,-7.51,104149.0,966769053.0,8.12,98.9,90.9,95.62,98.51,0.81,8.69,75.93,5.41,10919670307.0,10912299307.0,-0.14,-0.03,49.5,58.56
5416,000767,晋控电力,4.23,-7.64,-0.35,4869020.0,2074500503.49,7.86,4.48,4.12,4.12,4.58,1.5,16.72,30.95,2.07,13015465586.0,12318802424.0,-0.7,-0.47,47.9,51.07
5417,600152,维科技术,10.46,-7.68,-0.87,1105376.0,1216057204.0,12.36,11.81,10.41,11.5,11.33,1.3,20.89,-69.93,3.25,5534170263.0,5534170263.0,-0.19,-0.38,45.89,43.29
5418,688048,长光华芯,206.0,-7.69,-17.16,152732.0,3201964909.0,5.02,215.8,204.6,213.5,223.16,0.95,8.66,1860.08,12.08,36313668258.0,36313668258.0,0.0,-0.07,29.85,64.34
5419,688348,昱能科技,58.0,-7.7,-4.84,56606.0,341778889.0,8.13,63.11,58.0,61.95,62.84,0.73,3.62,-69.14,2.64,9064091230.0,9064091230.0,-0.14,-0.57,10.18,15.1
5420,600313,农发种业,7.85,-7.76,-0.66,1189990.0,955461542.0,7.76,8.46,7.8,8.38,8.51,1.26,11.0,110.32,4.31,9116785657.0,8495259505.0,-0.51,0.0,17.69,21.89
5421,301235,华康洁净,44.39,-7.79,-3.75,68081.0,310271580.91,8.21,48.08,44.13,48.08,48.14,1.13,9.36,58.67,2.63,4784213129.0,3229154101.0,-0.25,-0.11,-1.57,20.4
5422,603109,神驰机电,21.3,-7.79,-1.8,59504.0,126842783.0,3.81,21.88,21.0,21.0,23.1,3.23,2.85,33.25,2.28,4448470068.0,4448470068.0,0.09,0.0,-18.39,-17.41
5423,301070,开勒股份,63.5,-7.84,-5.4,36667.0,240745713.57,10.48,69.55,62.33,68.97,68.9,1.51,6.18,198.7,7.28,5729594840.0,3769029800.0,-0.95,1.45,0.71,3.17
5424,688353,华盛锂电,120.5,-7.86,-10.28,106973.0,1324669738.0,6.9,129.48,120.46,127.47,130.78,0.81,6.71,1449.83,5.6,19219750000.0,19219750000.0,-0.06,-0.25,9.75,5.98
5425,001896,豫能控股,13.72,-7.86,-1.17,1787067.0,2519965414.09,5.78,14.58,13.72,14.16,14.89,0.8,11.71,53.63,5.97,20933719848.0,20933719848.0,-0.44,-0.72,153.14,163.85
5426,000545,金浦钛业,3.16,-7.87,-0.27,886113.0,288757329.56,7.29,3.4,3.15,3.4,3.43,1.02,8.99,-10.05,3.42,3118392583.0,3113873783.0,0.0,-0.32,10.49,12.06
5427,301266,宇邦新材,38.62,-7.87,-3.3,52808.0,211629137.14,7.25,41.66,38.62,41.66,41.92,0.66,5.06,60.39,2.36,4247405509.0,4029288941.0,-1.25,-0.87,4.55,6.24
5428,601827,三峰环境,8.29,-7.89,-0.71,577394.0,481060466.0,7.33,8.82,8.16,8.81,9.0,4.15,3.45,11.26,1.15,13860327057.0,13860327057.0,0.24,0.48,-0.72,-2.13
5429,688485,九州一轨,24.7,-7.9,-2.12,85073.0,210318353.0,8.39,26.32,24.07,26.31,26.82,1.04,9.58,-264.9,2.82,3712213931.0,2192322057.0,0.08,1.77,41.71,38.45
5430,920152,昆工科技,15.61,-7.91,-1.34,29380.0,47635401.82,10.62,17.18,15.38,17.17,16.95,2.78,3.58,-8.48,8.35,1738043937.0,1282536722.0,0.77,1.17,-33.46,-29.68
5431,301200,大族数控,162.2,-7.93,-13.97,77165.0,1267015097.92,11.58,175.6,155.2,171.85,176.17,1.49,1.83,95.15,11.37,78428347354.0,68348598827.0,-0.01,1.32,33.65,36.57
5432,300206,理邦仪器,13.08,-7.95,-1.13,224232.0,299799959.87,8.16,14.21,13.05,14.21,14.21,2.15,6.63,24.81,3.46,7581996566.0,4426004710.0,0.0,0.15,-0.3,2.27
5433,600667,太极实业,8.94,-8.02,-0.78,1999058.0,1833758708.0,7.3,9.63,8.92,9.56,9.72,1.1,9.56,31.75,2.16,18698387071.0,18698387071.0,-0.11,0.0,9.29,12.17
5434,688223,晶科能源,6.51,-8.05,-0.57,2511811.0,1694658031.0,7.91,7.06,6.5,7.06,7.08,0.87,2.45,-9.85,2.55,66838827119.0,66838827119.0,0.0,-0.15,15.84,15.43
5435,688530,欧莱新材,28.89,-8.05,-2.53,96278.0,283403971.0,9.36,31.59,28.65,31.59,31.42,1.0,14.2,-114.17,5.73,4623694965.0,1958112314.0,-0.65,-0.58,71.25,75.73
5436,603803,瑞斯康达,12.44,-8.06,-1.09,739127.0,949067221.0,7.91,13.48,12.41,13.3,13.53,0.74,17.4,-84.19,3.37,5285551449.0,5285551449.0,0.08,-0.16,3.84,12.17
5437,300040,九洲集团,7.28,-8.08,-0.64,1014543.0,764659174.84,7.58,7.84,7.24,7.8,7.92,0.62,19.61,81.48,1.82,4684027974.0,3766497608.0,0.14,-0.27,17.99,20.93
5438,300570,太辰光,107.66,-8.15,-9.55,253049.0,2752509878.88,5.09,112.0,106.03,111.82,117.21,1.31,13.17,81.79,14.32,24452478501.0,20691476633.0,-0.04,-0.12,-10.28,-6.83
5439,300926,博俊科技,25.86,-8.2,-2.31,127513.0,336030664.07,6.85,27.73,25.8,27.48,28.17,3.64,4.28,13.3,3.22,11231512485.0,7705936062.0,0.0,-0.04,-18.63,-21.11
5440,688307,中润光学,68.35,-8.24,-6.14,81753.0,575981184.0,7.61,74.0,68.33,73.88,74.49,0.79,9.21,96.24,6.72,6067702900.0,6067702900.0,-0.07,-0.52,48.04,58.18
5441,000688,国城矿业,38.87,-8.33,-3.53,440339.0,1749073453.43,7.83,41.99,38.67,41.22,42.4,1.07,3.72,42.79,17.71,46063581732.0,46063413814.0,-0.15,0.0,46.79,39.82
5442,300475,香农芯创,125.63,-8.37,-11.47,352617.0,4501473477.33,6.82,133.76,124.41,133.34,137.1,1.4,7.92,121.9,17.22,58403598908.0,55953060128.0,0.04,-0.02,-17.38,-12.96
5443,600792,云煤能源,4.59,-8.38,-0.42,731108.0,347211139.0,8.98,5.0,4.55,4.91,5.01,0.67,6.59,-21.02,1.79,5094549324.0,5094549324.0,0.0,0.22,14.75,18.3
5444,300209,行云科技,10.0,-8.42,-0.92,1001308.0,1057186483.08,14.1,11.53,9.99,11.5,10.92,1.32,13.63,-502.77,9.37,9286361260.0,7345598360.0,-0.4,-0.6,72.71,83.49
5445,600758,辽宁能源,4.56,-8.43,-0.42,2603925.0,1208540811.0,7.43,4.87,4.5,4.58,4.98,1.23,19.72,-44.86,1.09,6028399317.0,6022589877.0,-0.44,-0.44,20.63,25.27
